shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,LINK_ID,osmid,shstRefId
940001,44.95794,-93.197225,90077,392627,74215701,609acc86a8c4b627c3380b8b1128f226
940001,44.958078,-93.197544,90078,392627,74215701,609acc86a8c4b627c3380b8b1128f226
940001,44.95818,-93.197735,90079,392627,74215701,609acc86a8c4b627c3380b8b1128f226
940001,44.958319,-93.19801,90080,392627,74215701,609acc86a8c4b627c3380b8b1128f226
940001,44.95844,-93.198223,90081,392627,74215701,609acc86a8c4b627c3380b8b1128f226
940001,44.958758,-93.198758,90082,392627,74215701,609acc86a8c4b627c3380b8b1128f226
940001,44.959758,-93.200372,90083,392629,"35277796,35277797,118479785,74215804,188344251,35277788,35277790",a59f90e024e6dd5e924c47a2b9a7eec5
940001,44.95995300000001,-93.200759,90084,392629,"35277796,35277797,118479785,74215804,188344251,35277788,35277790",a59f90e024e6dd5e924c47a2b9a7eec5
940001,44.960049,-93.200974,90085,392629,"35277796,35277797,118479785,74215804,188344251,35277788,35277790",a59f90e024e6dd5e924c47a2b9a7eec5
940001,44.960124,-93.201202,90086,392629,"35277796,35277797,118479785,74215804,188344251,35277788,35277790",a59f90e024e6dd5e924c47a2b9a7eec5
940001,44.960182,-93.201366,90087,392629,"35277796,35277797,118479785,74215804,188344251,35277788,35277790",a59f90e024e6dd5e924c47a2b9a7eec5
940001,44.960265,-93.201664,90088,392629,"35277796,35277797,118479785,74215804,188344251,35277788,35277790",a59f90e024e6dd5e924c47a2b9a7eec5
940001,44.960348,-93.202033,90089,392629,"35277796,35277797,118479785,74215804,188344251,35277788,35277790",a59f90e024e6dd5e924c47a2b9a7eec5
940001,44.960407,-93.202417,90090,392629,"35277796,35277797,118479785,74215804,188344251,35277788,35277790",a59f90e024e6dd5e924c47a2b9a7eec5
940001,44.960452,-93.203042,90091,392629,"35277796,35277797,118479785,74215804,188344251,35277788,35277790",a59f90e024e6dd5e924c47a2b9a7eec5
940001,44.96044000000001,-93.20359,90092,392629,"35277796,35277797,118479785,74215804,188344251,35277788,35277790",a59f90e024e6dd5e924c47a2b9a7eec5
940001,44.960383,-93.204202,90093,392629,"35277796,35277797,118479785,74215804,188344251,35277788,35277790",a59f90e024e6dd5e924c47a2b9a7eec5
940001,44.960313,-93.204774,90094,392629,"35277796,35277797,118479785,74215804,188344251,35277788,35277790",a59f90e024e6dd5e924c47a2b9a7eec5
940001,44.960011,-93.207021,90095,392629,"35277796,35277797,118479785,74215804,188344251,35277788,35277790",a59f90e024e6dd5e924c47a2b9a7eec5
940001,44.959991,-93.207395,90096,392629,"35277796,35277797,118479785,74215804,188344251,35277788,35277790",a59f90e024e6dd5e924c47a2b9a7eec5
940001,44.960002,-93.207746,90097,392629,"35277796,35277797,118479785,74215804,188344251,35277788,35277790",a59f90e024e6dd5e924c47a2b9a7eec5
940001,44.960023,-93.208107,90098,392629,"35277796,35277797,118479785,74215804,188344251,35277788,35277790",a59f90e024e6dd5e924c47a2b9a7eec5
940001,44.960067,-93.208445,90099,392629,"35277796,35277797,118479785,74215804,188344251,35277788,35277790",a59f90e024e6dd5e924c47a2b9a7eec5
940001,44.960188,-93.20898,90100,392629,"35277796,35277797,118479785,74215804,188344251,35277788,35277790",a59f90e024e6dd5e924c47a2b9a7eec5
940001,44.960586,-93.210021,90101,382969,188344251,43e2d82b6a3e569570af4baa9254ba7e
940001,44.960775,-93.21033,90102,382969,188344251,43e2d82b6a3e569570af4baa9254ba7e
940001,44.961277,-93.21111,90103,382969,188344251,43e2d82b6a3e569570af4baa9254ba7e
940001,44.961704,-93.21182,90104,382969,188344251,43e2d82b6a3e569570af4baa9254ba7e
940001,44.962399,-93.212856,90105,382969,188344251,43e2d82b6a3e569570af4baa9254ba7e
940001,44.962938,-93.213533,90106,382969,188344251,43e2d82b6a3e569570af4baa9254ba7e
940001,44.965722,-93.217089,90107,382969,188344251,43e2d82b6a3e569570af4baa9254ba7e
940001,44.966095,-93.217645,90108,382969,188344251,43e2d82b6a3e569570af4baa9254ba7e
940001,44.966368,-93.218101,90109,382969,188344251,43e2d82b6a3e569570af4baa9254ba7e
940001,44.96683400000001,-93.219259,90110,411922,"637976934,22749909,637911918",eb8c229b41bf38833c02514c9ce48f43
940001,44.966901,-93.219456,90111,411922,"637976934,22749909,637911918",eb8c229b41bf38833c02514c9ce48f43
940001,44.966982,-93.219766,90112,411922,"637976934,22749909,637911918",eb8c229b41bf38833c02514c9ce48f43
940001,44.967304,-93.220741,90113,411922,"637976934,22749909,637911918",eb8c229b41bf38833c02514c9ce48f43
940001,44.967492,-93.221341,90114,411922,"637976934,22749909,637911918",eb8c229b41bf38833c02514c9ce48f43
940001,44.967535,-93.22146,90115,411922,"637976934,22749909,637911918",eb8c229b41bf38833c02514c9ce48f43
940001,44.967537,-93.221685,90116,411922,"637976934,22749909,637911918",eb8c229b41bf38833c02514c9ce48f43
940001,44.967536,-93.221848,90117,411922,"637976934,22749909,637911918",eb8c229b41bf38833c02514c9ce48f43
940001,44.966638,-93.225095,100005,411921,"188344251,46817676",04f32f7329c6be1ad5c6d0b4570fa43e
940001,44.96627700000001,-93.225895,100006,411921,"188344251,46817676",04f32f7329c6be1ad5c6d0b4570fa43e
940001,44.965083,-93.228427,100007,411031,"46817680,46817674,46817676",d892929efda207713e3c693338b26750
940001,44.96497,-93.228726,100008,411031,"46817680,46817674,46817676",d892929efda207713e3c693338b26750
940001,44.964826,-93.229127,100009,411063,"46817680,46817679",b1c93ca80377d9ea5a0cd5de2cbe8341
940001,44.964789,-93.22922,100010,411063,"46817680,46817679",b1c93ca80377d9ea5a0cd5de2cbe8341
940001,44.964671,-93.229667,100011,411063,"46817680,46817679",b1c93ca80377d9ea5a0cd5de2cbe8341
940001,44.964629,-93.229883,100012,411063,"46817680,46817679",b1c93ca80377d9ea5a0cd5de2cbe8341
940001,44.9645,-93.230586,100013,411063,"46817680,46817679",b1c93ca80377d9ea5a0cd5de2cbe8341
940001,44.964446,-93.231268,100014,411063,"46817680,46817679",b1c93ca80377d9ea5a0cd5de2cbe8341
940001,44.964423,-93.232192,100015,411063,"46817680,46817679",b1c93ca80377d9ea5a0cd5de2cbe8341
940001,44.964385,-93.234618,100016,411063,"46817680,46817679",b1c93ca80377d9ea5a0cd5de2cbe8341
940001,44.964413,-93.240537,100017,411063,"46817680,46817679",b1c93ca80377d9ea5a0cd5de2cbe8341
940001,44.964421,-93.241842,100018,381624,183239678,2db5c3daca77daadd61aa2ed6747e647
940001,44.964478,-93.242559,100019,381624,183239678,2db5c3daca77daadd61aa2ed6747e647
940001,44.964567,-93.243138,100020,381626,183239680,96a659f6ee5dcfaf5a0a451a2bbfa817
940001,44.964714,-93.243877,100021,381626,183239680,96a659f6ee5dcfaf5a0a451a2bbfa817
940001,44.96491,-93.244789,100022,381626,183239680,96a659f6ee5dcfaf5a0a451a2bbfa817
940001,44.965111,-93.245357,100023,381626,183239680,96a659f6ee5dcfaf5a0a451a2bbfa817
940001,44.965331,-93.245912,100024,381626,183239680,96a659f6ee5dcfaf5a0a451a2bbfa817
940001,44.965586,-93.246495,100025,381626,183239680,96a659f6ee5dcfaf5a0a451a2bbfa817
940001,44.965868,-93.247164,100026,407848,"334741415,334741416,334741418,426325231,46639673,46639674,46639678",e03c496af3b63a284bc238ff852881ea
940001,44.966087,-93.247766,100027,407848,"334741415,334741416,334741418,426325231,46639673,46639674,46639678",e03c496af3b63a284bc238ff852881ea
940001,44.966208,-93.248243,100028,407848,"334741415,334741416,334741418,426325231,46639673,46639674,46639678",e03c496af3b63a284bc238ff852881ea
940001,44.966382,-93.248797,100029,407848,"334741415,334741416,334741418,426325231,46639673,46639674,46639678",e03c496af3b63a284bc238ff852881ea
940001,44.966547,-93.249549,100030,407848,"334741415,334741416,334741418,426325231,46639673,46639674,46639678",e03c496af3b63a284bc238ff852881ea
940001,44.966694,-93.250252,100031,407848,"334741415,334741416,334741418,426325231,46639673,46639674,46639678",e03c496af3b63a284bc238ff852881ea
940001,44.966805,-93.250806,100032,407848,"334741415,334741416,334741418,426325231,46639673,46639674,46639678",e03c496af3b63a284bc238ff852881ea
