stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,wheelchair_boarding,N,OSMID
5324,,White Bear Ave & Aldrich Arena,Across from S,44.997062,-93.02529100000001,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=5324,0,1,driveNode138873,579104223
5325,,White Bear Ave & Ripley Ave,Near side S,44.995635,-93.02529799999999,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=5325,0,1,driveNode138873,579104223
53257,,4th St - Node & Hennepin Ave,Near side E,44.980493,-93.27152199999999,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=53257,0,1,driveNode8092,33348772
53258,,3rd St - Node & Hennepin Ave,Near side W,44.981251,-93.269972,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=53258,0,1,driveNode8098,33348808
5326,,White Bear Ave & Larpenteur Ave,Near side N,44.991706,-93.025029,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=5326,0,1,driveNode142788,780907487
53263,,France Ave S & 76th St / Minnesota Dr,Mid block S,44.863375,-93.32899,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=53263,0,1,driveNode153630,2080397200
53265,,1st St N & 2nd Ave N,Near side E,44.985413,-93.269152,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=53265,0,1,driveNode7929,33347510
53266,,Old Shakopee Rd & Yosemite Rd,Near side W,44.807969,-93.356114,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=53266,0,1,driveNode148239,1550465032
53269,,Winnetka Ave N & Golden Valley Rd,Near side N,44.985418,-93.380258,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=53269,0,1,driveNode169455,5974232637
53270,,Plymouth Ave N & Valders Ave,Near side W,44.992778,-93.38161,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=53270,0,1,driveNode3822,33297665
53272,,Plymouth Ave N & Castle Court,Near side W,44.992661,-93.38710400000001,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=53272,0,1,driveNode12308,33386347
53273,,Plymouth Ave N & Boone Ave N,Near side W,44.991937,-93.39026199999999,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=53273,0,1,driveNode24438,34190182
53274,,Plymouth Ave N & Castle Court,Near side E,44.99255,-93.387354,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=53274,0,1,driveNode12308,33386347
53276,,Plymouth Ave & Valders Ave,Near side E,44.992665,-93.381857,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=53276,0,1,driveNode3822,33297665
53277,,45th Ave Node & Cub Foods Layover,Across from W,45.036689,-93.410333,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=53277,0,1,driveNode15442,33541248
53279,,American Blvd 34th Ave Station,Far side S,44.858305,-93.22323,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=53279,0,1,driveNode170650,1697829724
53280,,American Blvd 34th Ave Station,Far side N,44.859151000000004,-93.223072,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=53280,0,1,driveNode170615,1697829788
53281,,Minnehaha Ave & Lake St / Transitway,Mid block N,44.948901,-93.23456999999999,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=53281,0,1,driveNode148649,1641202656
53282,,28th St E & Hiawatha Ave S,Near side E,44.951907,-93.241619,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=53282,0,1,driveNode15024,33522711
53284,,4th St & 4th Ave,Near side W,44.859813,-93.003596,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=53284,0,1,driveNode119650,188581601
53285,,4th Ave & 4th St,Near side S,44.859851,-93.003796,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=53285,0,1,driveNode119650,188581601
53287,,Marquette Ave & Washington Ave S - Stop Group A,Far side S,44.980682,-93.267301,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=53287,0,1,driveNode14539,33495606
53288,,Marquette Ave & 4th St - Stop Group A,Far side S,44.97882,-93.268855,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=53288,0,1,driveNode11239,33373768
53289,,Marquette Ave & 6th St - Stop Group A,Far side S,44.976877,-93.270473,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=53289,0,1,driveNode4931,33307425
53290,,Marquette Ave & 8th St - Stop Group A,Far side S,44.974933,-93.272142,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=53290,0,1,driveNode4939,33307492
53291,,Marquette Ave & 10th St - Stop Group A,Far side S,44.973025,-93.273671,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=53291,0,1,driveNode4944,33307501
53292,,Marquette Ave & 3rd St - Stop Group B,Near side S,44.980294,-93.26764399999999,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=53292,0,1,driveNode14539,33495606
53293,,Marquette Ave & 5th St - Stop Group B,Near side S,44.978336,-93.26926999999999,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=53293,0,1,driveNode4933,33307438
53294,,Marquette Ave & 7th St - Stop Group B,Near side S,44.976401,-93.270881,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=53294,0,1,driveNode4940,33307493
53295,,Marquette Ave & 9th St - Stop Group B,Near side S,44.974503999999996,-93.272511,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=53295,0,1,driveNode4943,33307500
53296,,11th St S & Marquette Ave,Far side W,44.972652000000004,-93.27454300000001,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=53296,0,1,driveNode9299,33359126
53297,,Marquette Ave & 3rd St - Stop Group C,Far side S,44.979799,-93.268051,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=53297,0,1,driveNode14539,33495606
53298,,Marquette Ave & 5th St - Stop Group C,Far side S,44.977841999999995,-93.269666,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=53298,0,1,driveNode4933,33307438
53299,,Marquette Ave & 7th St - Stop Group C,Far side S,44.975914,-93.2713,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=53299,0,1,driveNode4940,33307493
53300,,Marquette Ave & 9th St - Stop Group C,Far side S,44.974004,-93.272906,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=53300,0,1,driveNode4943,33307500
53301,,Marquette Ave & 11th St - Stop Group C,Far side S,44.972021000000005,-93.274493,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=53301,0,1,driveNode9299,33359126
53302,,Marquette Ave & 4th St - Stop Group D,Near side S,44.979315,-93.268447,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=53302,0,1,driveNode11239,33373768
53303,,Marquette Ave & 6th St - Stop Group D,Near side S,44.977365999999996,-93.27005799999999,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=53303,0,1,driveNode4931,33307425
53304,,Marquette Ave & 8th St - Stop Group D,Near side S,44.975419,-93.271723,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=53304,0,1,driveNode4939,33307492
