stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,wheelchair_boarding,model_node_id,osm_node_id,node_ssid,parent_station
10488,,Rice St & Charles Ave,Near side N,44.957812,-93.10587,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=10488,0,1.0,78323,187945166,71b7de84c0480eb1d8f1a4f5edd4fc26,
10489,,Rice St & Como Ave,Near side N,44.958863,-93.105868,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=10489,0,1.0,82056,187953343,6cc2469729fa8734335e9053ab9ba811,
10490,,Rice St & Pennsylvania Ave,Far side N,44.960636,-93.105872,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=10490,0,1.0,57528,187890613,ca9d1e9dba2c0e666c06c6b95465ca33,
10491,,Rice St & Sycamore St,Near side N,44.964727,-93.10586,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=10491,0,1.0,78332,187945180,2be9e851da1193cddc443007673bae6d,
10492,,Rice St & Atwater St,Near side N,44.966524,-93.105867,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=10492,0,1.0,72221,187927985,5def7ab94e0559960f619d008fd868fc,
10494,,Rice St & Manitoba Ave,Near side N,44.968266,-93.105878,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=10494,0,1.0,77154,187942652,7d63eff7c5a8c7e156b2c07bcf51de71,
10496,,Rice St & Front Ave,Near side N,44.970151,-93.105893,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=10496,0,1.0,82059,187953351,4973fe565ba993d3cfec2120b0025e35,
10497,,Rice St & Hatch Ave,Near side N,44.970996,-93.105887,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=10497,0,1.0,82060,187953353,27c9cada69e9331425306e4665e541c0,
10498,,Rice St & Lawson Ave,Near side N,44.971937,-93.105881,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=10498,0,1.0,42821,187860463,5c7215418b66e71deec76c3936bb1ec3,
10499,,Rice St & Magnolia Ave,Near side N,44.973713,-93.105869,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=10499,0,1.0,66079,187909950,f88049405ed5f4d9783815b9b52e0881,
10501,,Rice St & Geranium Ave,Near side N,44.975499,-93.10586,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=10501,0,1.0,57799,187891077,7dc73d8eaeff5dbe839148ed630d26b6,
